Date,BQ.1.1,BA.5.2.6,XBB.1.5,CL.1,BQ.1.8.2,BQ.1.2,BQ.1.3,CH.1.1,BN.1.3,BN.1.5,XBB.1.9.1,XBB.1,BQ.1.1.2,BQ.1.23,BF.7,BF.7.12,BQ.1.18,BA.5.2.13,BN.3.1,BA.5.1.3,BQ.1.8,BA.5.1.26,BQ.1.1.13,CK.2.1,BQ.1
2022-01-01,9,10,1,3,1,3,10,9,8,8,2,3,3,1,1,3,3,7,7,7,3,1,1,9,2
2022-02-01,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,7,7,7,8,8,9,9,9,10,10
2022-03-01,1,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1,1,2,2,3,3,3,3,3,3
2022-04-01,8,8,2,3,3,1,1,3,3,7,8,8,2,3,3,1,1,3,3,7,1,1,2,2,3
2022-05-01,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,7,7,7,8,8,9,9,9,10,10
2022-06-01,1,1,3,3,7,1,1,3,3,7,8,8,2,3,3,1,1,7,8,8,9,9,9,10,10
2022-07-01,1,1,3,3,7,8,8,1,1,3,3,7,8,1,1,3,3,7,8,8,2,3,3,1,1
2022-08-01,10,9,8,8,2,10,9,8,8,2,3,3,3,3,1,3,3,3,1,1,3,3,7,8,8
2022-09-01,9,10,1,3,1,3,10,9,8,8,2,3,3,1,1,3,3,7,7,7,3,1,1,9,2
2022-10-01,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,7,7,7,8,8,9,9,9,10,10
2022-11-01,1,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1,1,2,2,3,3,3,3,3,3
2022-12-01,8,8,2,3,3,1,1,3,3,7,8,8,2,3,3,1,1,3,3,7,1,1,2,2,3
